symbol,accuracy,avg_pnl,avg_pnl_pct,cagr,confidence_buckets,f1_score,gross_loss,gross_profit,loss_count,max_drawdown,optimal_confidence_threshold,precision,precision_buy,prediction_counts,profit_factor,recall,sharpe_ratio,total_trades,trade_expectancy,train_accuracy,train_test_gap,win_count,win_rate,window_index
ASIANPAINT.NS,0.5040650406504065,-404.0700183105446,-0.008310893817194619,-0.011680283624940446,"{'low': {'count': 9, 'correct': 5}, 'medium': {'count': 44, 'correct': 21}, 'high': {'count': 70, 'correct': 36}}",0.40020141986822605,404.0700183105446,0,1,0.012109089460033418,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.3377186499137719,0.0,"{0: 12, 1: 110, 2: 1}",0.0,0.5040650406504065,-5.0197414807762994,1,"{'expectancy': np.float64(-404.0700183105446), 'avg_win': 0, 'avg_loss': np.float64(404.0700183105446), 'win_rate': 0.0, 'total_trades': 1}",1.0,0.49593495934959353,0,0.0,3
HINDALCO.NS,0.4065040650406504,0,,0,"{'low': {'count': 6, 'correct': 5}, 'medium': {'count': 50, 'correct': 23}, 'high': {'count': 67, 'correct': 22}}",0.3898498659352364,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.41398890179377984,0.0,"{0: 60, 1: 63}",0,0.4065040650406504,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.5934959349593496,,0,3
SHRIRAMFIN.NS,0.2032520325203252,0,,0,"{'low': {'count': 6, 'correct': 1}, 'medium': {'count': 32, 'correct': 9}, 'high': {'count': 85, 'correct': 15}}",0.23468748306723866,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.7375661375661374,0.0,"{0: 105, 1: 18}",0,0.2032520325203252,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.7967479674796748,,0,3
WIPRO.NS,0.4634146341463415,1216.9850509643588,0.033206853440533576,0.022334826602334212,"{'low': {'count': 16, 'correct': 9}, 'medium': {'count': 46, 'correct': 18}, 'high': {'count': 61, 'correct': 30}}",0.44335396811476485,0,1216.9850509643588,0,0.0020874542002761154,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5381406141996643,0.75,"{0: 39, 1: 76, 2: 8}",inf,0.4634146341463415,-2.2737113974226184,1,"{'expectancy': np.float64(1216.9850509643588), 'avg_win': np.float64(1216.9850509643588), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.5365853658536586,1,1.0,3
EICHERMOT.NS,0.4878048780487805,0,,0,"{'low': {'count': 10, 'correct': 4}, 'medium': {'count': 51, 'correct': 26}, 'high': {'count': 62, 'correct': 30}}",0.46609544978350326,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.46432986259687153,0.0,"{0: 45, 1: 76, 2: 2}",0,0.4878048780487805,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.5121951219512195,,0,3
GRASIM.NS,0.4146341463414634,178.5726110026068,0.011102271512057234,0.005938788690354357,"{'low': {'count': 7, 'correct': 3}, 'medium': {'count': 27, 'correct': 14}, 'high': {'count': 89, 'correct': 34}}",0.4200895970744288,206.53141552734087,742.2492485351613,1,0.009127524535257772,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.5456938725231408,0.4,"{0: 63, 1: 55, 2: 5}",3.5938806047494576,0.4146341463414634,-2.1371401752858223,3,"{'expectancy': np.float64(178.57261100260678), 'avg_win': np.float64(371.12462426758066), 'avg_loss': np.float64(206.53141552734087), 'win_rate': 0.6666666666666666, 'total_trades': 3}",1.0,0.5853658536585367,2,0.6666666666666666,3
SBILIFE.NS,0.5365853658536586,0,,0,"{'low': {'count': 2, 'correct': 0}, 'medium': {'count': 27, 'correct': 14}, 'high': {'count': 94, 'correct': 52}}",0.47155070445732084,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.42158001411946894,0.0,"{0: 21, 1: 102}",0,0.5365853658536586,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",0.9990592662276576,0.46247390037399905,,0,3
INDIGO.NS,0.5772357723577236,-581.8567097981754,-0.034273342569694686,-0.03941402876165523,"{'low': {'count': 16, 'correct': 6}, 'medium': {'count': 46, 'correct': 29}, 'high': {'count': 61, 'correct': 36}}",0.554329148025208,1745.5701293945262,0,3,0.029614633777018312,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.5828841996285131,0.16666666666666666,"{0: 4, 1: 89, 2: 30}",0.0,0.5772357723577236,-3.2417529575031327,3,"{'expectancy': np.float64(-581.8567097981754), 'avg_win': 0, 'avg_loss': np.float64(581.8567097981754), 'win_rate': 0.0, 'total_trades': 3}",1.0,0.4227642276422764,0,0.0,3
TRENT.NS,0.6260162601626016,2689.5723607584664,0.11840886386918592,0.16627719318835932,"{'low': {'count': 13, 'correct': 8}, 'medium': {'count': 38, 'correct': 20}, 'high': {'count': 72, 'correct': 49}}",0.5808295039472134,0,8068.7170822754,0,0.004452384944471551,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.6700542005420054,0.875,"{0: 10, 1: 105, 2: 8}",inf,0.6260162601626016,1.3426861860470547,3,"{'expectancy': np.float64(2689.5723607584664), 'avg_win': np.float64(2689.5723607584664), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",1.0,0.3739837398373984,3,1.0,3
TECHM.NS,0.6097560975609756,1726.1510969238293,0.05703023149697399,0.06725677580431388,"{'low': {'count': 23, 'correct': 10}, 'medium': {'count': 34, 'correct': 17}, 'high': {'count': 66, 'correct': 48}}",0.5495142910409306,0,3452.3021938476586,0,0.003796668307007253,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 2, 'all_negative_expectancy': True}",0.5760996456118407,0.6666666666666666,"{0: 10, 1: 104, 2: 9}",inf,0.6097560975609756,0.20740816330591066,2,"{'expectancy': np.float64(1726.1510969238293), 'avg_win': np.float64(1726.1510969238293), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 2}",1.0,0.3902439024390244,2,1.0,3
